Original Part,Quantity,Preview,Subtotal,Stock,Supplier Order Quantity,Order List,Supplier Name,Supplier Part Number,Order List (Supplier Link),Unit Price
RU4S-A110,1,https://sigma.octopart.com/10119211/image/Idec-RU4S-A110.jpg,14.05,139,1,DigiKey 1885-1089-ND,DigiKey,1885-1089-ND,https://octopart.com/opatz8j6/a1?t=6DhcWR661Fx5Qvg6vGBMHeLcGaBOsiJVf4O9KEFL1eR3zGZQypOhKV90C6yf70kaq6Ap8RTWnrjVjpHeU_x9ohxIHfsx-e5-KzNgoXFdGMnrvOEhoMkIi3z9ZIY7HMYMV5dhG6jUxrILf0QmU9jH5q5YEU_KiZSpgQ4PyVhKhE2N5P9kfHdy8B2dPB14C0X3meH8fn4WEw_7q209ZOJ2HhfczFf14UTzMFENMDAECq3EFvjFQiA7_M9_gVzbXllHNDGAwWMxEII3lInXSRhqJNpF,14.05
HW1F-2F11QD-S-120V,1,https://sigma.octopart.com/155415439/image/Idec-HW1F-2F11QD-S-120V.jpg,59.57,0,1,DigiKey 1885-HW1F-2F11QD-S-120V-ND,DigiKey,1885-HW1F-2F11QD-S-120V-ND,https://octopart.com/opatz8j6/a1?t=Y0Sb-cW_xcO_1NpI3OwGOf2Q4XFfzBq7jUIs5KkotXWufQ_h77L0fInUvL5efOxSJ_51-zjrvTx8Ik3U-NiKj7Me6smWPuf0UpSlg3RSs8CB3aBONtGb5qlK9spl_4OSPkOvritcTWcALD20sPmqTYSBWZyUw3S0kxcuUf1Q20O2Q3bcNwt80GYVmMp2nd5EZlDtoHNEqIjosz3TcGzNTaSwhtKT3wXjhaRSW48a0uQFZTXZRYGtsMWopBq8L0TAMBtCumo5cGW-oIOsiKcYvEEbBQ,59.57
AL6M-M14P-A,2,https://sigma.octopart.com/168139190/image/Idec-AL6M-M14P-A.jpg,58.66,0,2,DigiKey 1885-AL6M-M14P-A-ND,DigiKey,1885-AL6M-M14P-A-ND,https://octopart.com/opatz8j6/a1?t=N9C5oNd4-VXh0RxW-VRvq8d4YQWa1BfQhLKsVAiCPGMVf6YMUIcd5P3PUW0pwNzn1D7H1mweAy7jOgp3uHeljrqbdqumpSPKf-P0JU5v3Cd-hVdoxlMdIgHZP2jxcRBZBi3iEkr-1BDbH5CRKH431kgHqaSVLpzW8Ct_QFUV-hmy_dzNIa9NRXv0XwkuDpJ-z8HIqHBzA9YlgB08-xK0ftKXPPBGDI9i_IGG1R55lvEdJRjMKZMI-muhtFsb-GV4PH2M-JSjxKDhcpQuahQOOF8,29.33
FB1W-HW1B-X402R,1,https://sigma.octopart.com/14216522/image/Idec-FB1W-HW1B-X402R.jpg,97.07,0,1,DigiKey 1885-FB1W-HW1B-X402R-ND,DigiKey,1885-FB1W-HW1B-X402R-ND,https://octopart.com/opatz8j6/a1?t=kd4JNfrggpY_HdhiM4HNqo226QavSzhClA4JjAhfAPfrL6PFBEMwtDQchY0PU_zp5mVLwRCz0y0ZN2wR6l27nrsI_04NK5E3LcWnclLUvKF582ex8NgtR04CK2NXFCcBpwTsd_D909EEVJ-wMrieonRQahNkLhgBzt1OVXcffOl24uwesfK0dr93tfzpiZNulYnrmTZHWDmJi0JdfaM24E3DHEjWBm4LYHt_QLcxLZh_Twq1Cxdo5_-UIG58_qx5P-6pHmlWv-zu24fJLoByfKMMeQ,97.07
AP6M122-R,1,https://sigma.octopart.com/146060945/image/Idec-AP6M122-R.jpg,13.1,4,1,DigiKey 1885-1235-ND,DigiKey,1885-1235-ND,https://octopart.com/opatz8j6/a1?t=3DfoW0kdiVOWK659rgZv0-RP9p4p83-UZad-JqCU9xV13vjcASFFMazLp3cOltJkkgvtPaSrTHdyPulpdeHBxwUsgdJYZMUb6ENBwSJVvjMteBocQlJK8tf6tUQ0HRWch9NkdpPsINxyHHftPaRROkwRtaRJ3yT6XqzIdqGvX9Y3nMkLh9C0TC-7feIRSVdZ0_sUSnmaYvTP-LEDohAe4tYcWD_pnAkkkjtzkf_ai1oi9CBo1wLoQjMyKtxkbxgfDXH_BuEXsAFWp1diaWP6GQ,13.1
RR3PA-UAC120V,2,https://sigma.octopart.com/168143031/image/Idec-RR3PA-UAC120V.jpg,55.92,4,2,DigiKey 1885-1088-ND,DigiKey,1885-1088-ND,https://octopart.com/opatz8j6/a1?t=KxLZSvT0AJNuWzEhkzsWVTEkq89Wujv7CZVOYBL9Q4i334OnDz4fFsIMQGLDnsZ_d4U8ijrubfPMY6RMaiyLZlmZIeqa_87DsvCYKsxdG43zIYM8yL8EtW-KZGw4G-3MFj5ZxsmB5Jy0LX7PY8SapFYwsimBYPwML87j9SD4I5ta7DbXOkcn4FZ0nZhYQgJehE-X8LHIrpd7kY5LUBw2-CQPr5b4F1n-8e7UNRsr9sBLwz3XxXH86DQS57Lm2KHzadh5RY8bTDRiyBhwoziK,27.96
LB1P-1T04Y,1,https://sigma.octopart.com/183033039/image/Idec-LB1P-1T04Y.jpg,29.02,0,1,DigiKey 1885-LB1P-1T04Y-ND,DigiKey,1885-LB1P-1T04Y-ND,https://octopart.com/opatz8j6/a1?t=AEv6FkoPSuHI-DcjuVr6s_CN_CNXPeORQNpZMjVuKBkOYkpwBQeHm745JvaWCbzhfFv6K1e-U24aviHHvunA9JAL-W6MFwi7rFILKeMdbdX6vXhl5W0VNXs3SxJqP-Fic4PlCWASn5qlmPOSuGHLoblKojXsr5cdrmrK-aPpdVxtHpj1Qf8z35L5aUwh71wmBsdusYtOvDH7aX-q96lyEGiMDVYvszkJ5meM1f7jFp_LjBqkWGPPJ1P8PLCKpCdXvgdmC6qs2gURSTN6fj1cji0Fl1c,29.02
RH2B-ULCDC24V,2,https://sigma.octopart.com/37508305/image/Idec-RH2B-ULCDC24V.jpg,35.24,6,2,DigiKey 1885-1492-ND,DigiKey,1885-1492-ND,https://octopart.com/opatz8j6/a1?t=ae_0iawBpPunAPq2dlulRnFipq75r4djBp0s-qOiOn3wZHIu-kMVWEl179Dgelx5Owxf6aGT_1y72nR3hK3sRCD9ysmdfld2MkicCT6pisjpyhOUE23e0VZAXDzKBKYekV5C3PsA1vGAEzuCPGISpGl6WmOezYmzeKRlcbKIKqG4LF10yD6DR-ZKnBewpvgTuu2WN-Ch3YQYCDdDT8grMJe2FWdQhZt3fNB_UBQwn2eNBmlHwyQsLYpXu6B2rEID9ipuy4PcduZ60ji0utFogcFP,17.62
RV1H-G-D60,1,https://sigma.octopart.com/21399587/image/Idec-RV1H-G-D60.jpg,12.47,0,1,DigiKey 1885-RV1H-G-D60-ND,DigiKey,1885-RV1H-G-D60-ND,https://octopart.com/opatz8j6/a1?t=TuQ72z4lSVkQDGhv9agzKzfxpdEi_uP9Gu1LQBw7rzMJcDFeQzdA1xQxgp3CPKrKXQODxeaqXRM_CH4oa6DgtB0EqbEPmJ5EFX4lrd3wU3DnqrlJGpFepby6FC6eqXh7D34R1zOnndm4TA6KTZ14UX_IGsULz088pFty6cB1rotn-dkDDBc4FATjcltD2zEJQD3JvJkvsnt2uYR2oSXfYjAnA3XkHivki0wTTjsEhFTYfeWRLAGej4wyhHdf_sdXrQxp7fdut6FYaV4mKr-7ANA5XB8,12.47
LB2L-A1T64G,2,https://sigma.octopart.com/168142488/image/Idec-LB2L-A1T64G.jpg,76.16,0,2,DigiKey 1885-LB2L-A1T64G-ND,DigiKey,1885-LB2L-A1T64G-ND,https://octopart.com/opatz8j6/a1?t=eFXev3ZNQ0mvwaGKlNYKzLueCbrBd61xZBkamQaPkxMrwPFzISA9pYthxitSO4mvxvO0rDsYUcIsMTC0YzUXzot7IFm2qtWCTE0LspcTSeZTX6mf_5qZ5viHzpLzKvSXPHV4QYDEXeae1x_K9Q_3ZR-vWJ-fI1KuxQgkyLeYH1ZO5tqOlsXHRJSzw4PwhxG3p9lBw9PUVYBSZ9DIf8atv9yRtZZ1Uz9spaJkU94zMxsOHl33I7d1G87rh6-0IniFZ2bg5XWVLrYz66f9ybbDC2n1_2k,38.08
